frame_id,ok,used_markers,n_points,err_mean,err_median,err_p90,used_ids
0,True,1,4,0.235253,0.235261,0.237749,"[2]"
1,True,1,4,0.103760,0.103747,0.104217,"[1]"
2,True,1,4,0.088916,0.088912,0.089547,"[1]"
3,True,1,4,0.214005,0.214010,0.215581,"[4]"
4,True,1,4,0.240935,0.240950,0.242944,"[2]"
5,True,1,4,0.117926,0.117591,0.131488,"[0]"
6,True,1,4,0.052877,0.052852,0.055094,"[1]"
7,True,1,4,0.165004,0.165015,0.165515,"[3]"
8,True,1,4,0.134100,0.134110,0.135022,"[2]"
9,True,1,4,0.104375,0.104365,0.104801,"[4]"
10,True,1,4,0.080897,0.080892,0.081016,"[4]"
11,True,1,4,0.223745,0.223749,0.225492,"[3]"
