frame_id,ok,used_markers,n_points,err_mean,err_median,err_p90,used_ids
0,True,1,4,0.184584,0.184434,0.196992,"[3]"
1,True,1,4,0.225135,0.225069,0.231828,"[3]"
2,True,1,4,0.086182,0.086158,0.087710,"[2]"
3,True,1,4,0.141464,0.141241,0.149927,"[2]"
4,True,1,4,0.085086,0.084977,0.089048,"[0]"
5,True,1,4,0.068063,0.068061,0.068454,"[3]"
6,True,1,4,0.135606,0.135272,0.147980,"[4]"
7,True,1,4,0.135131,0.134969,0.141628,"[1]"
8,True,1,4,0.261487,0.261167,0.272457,"[3]"
9,True,1,4,0.158295,0.158270,0.166310,"[1]"
10,True,1,4,0.145665,0.145594,0.149199,"[1]"
11,True,1,4,0.187292,0.187172,0.192708,"[4]"
