frame_id,ok,used_markers,n_points,err_mean,err_median,err_p90,used_ids
0,True,1,4,0.140932,0.140853,0.143360,"[4]"
1,True,1,4,0.148575,0.148562,0.150305,"[3]"
2,True,1,4,0.201273,0.201043,0.210785,"[4]"
3,True,1,4,0.169813,0.169379,0.186354,"[3]"
4,True,1,4,0.098046,0.097800,0.103512,"[3]"
5,True,1,4,0.098046,0.097800,0.103512,"[3]"
6,True,1,4,0.050720,0.050659,0.053003,"[0]"
7,True,1,4,0.050720,0.050659,0.053003,"[0]"
8,True,1,4,0.161696,0.161668,0.167958,"[1]"
9,True,1,4,0.100818,0.100754,0.104651,"[0]"
10,True,1,4,0.108615,0.108267,0.116885,"[3]"
11,True,1,4,0.222744,0.222739,0.239321,"[4]"
12,True,1,4,0.144179,0.144177,0.153717,"[2]"
13,True,1,4,0.097420,0.097428,0.100262,"[1]"
14,True,1,4,0.106128,0.106226,0.111529,"[4]"
15,True,1,4,0.132656,0.132652,0.133773,"[1]"
16,True,1,4,0.207332,0.207324,0.214481,"[1]"
17,True,1,4,0.207332,0.207324,0.214481,"[1]"
18,True,1,4,0.154414,0.154373,0.158404,"[1]"
19,True,1,4,0.154414,0.154373,0.158404,"[1]"
20,True,1,4,0.275092,0.274727,0.287020,"[4]"
21,True,1,4,0.518902,0.518352,0.537776,"[4]"
22,True,1,4,0.074869,0.074909,0.078733,"[0]"
23,True,1,4,0.140793,0.140742,0.144883,"[1]"
