frame_id,ok,used_markers,n_points,err_mean,err_median,err_p90,used_ids
0,True,1,4,0.222665,0.222602,0.226896,"[3]"
1,True,1,4,0.222665,0.222602,0.226896,"[3]"
2,True,1,4,0.164781,0.164685,0.170248,"[3]"
3,True,1,4,0.200797,0.200673,0.203774,"[3]"
4,True,1,4,0.077511,0.077504,0.080226,"[3]"
5,True,1,4,0.077511,0.077504,0.080226,"[3]"
6,True,1,4,0.300454,0.300488,0.302215,"[3]"
7,True,1,4,0.300454,0.300488,0.302215,"[3]"
8,True,1,4,0.086784,0.086730,0.089788,"[3]"
9,True,1,4,0.051857,0.051791,0.059361,"[0]"
10,True,1,4,0.142741,0.142660,0.147803,"[3]"
11,True,1,4,0.118367,0.118319,0.122473,"[3]"
12,True,1,4,0.177141,0.177094,0.189544,"[2]"
13,True,1,4,0.177141,0.177094,0.189544,"[2]"
14,True,1,4,0.082476,0.082436,0.085530,"[3]"
15,True,1,4,0.169512,0.169453,0.176079,"[3]"
16,True,1,4,0.265723,0.265608,0.273467,"[2]"
17,True,1,4,0.114181,0.114139,0.118309,"[3]"
18,True,1,4,0.050342,0.050324,0.051534,"[3]"
19,True,1,4,0.050342,0.050324,0.051534,"[3]"
20,True,1,4,0.050342,0.050324,0.051534,"[3]"
21,True,1,4,0.098794,0.098789,0.100912,"[3]"
22,True,1,4,0.265906,0.265934,0.275196,"[3]"
23,True,1,4,0.096111,0.096108,0.099415,"[3]"
24,True,1,4,0.098330,0.098282,0.104357,"[2]"
25,True,1,4,0.088843,0.088813,0.091561,"[3]"
26,True,1,4,0.088843,0.088813,0.091561,"[3]"
27,True,1,4,0.031671,0.031664,0.032560,"[2]"
28,True,1,4,0.031671,0.031664,0.032560,"[2]"
29,True,1,4,0.053083,0.053070,0.054307,"[2]"
30,True,1,4,0.052476,0.052472,0.053874,"[2]"
31,True,1,4,0.534816,0.534471,0.552510,"[2]"
32,True,1,4,0.315654,0.315609,0.325344,"[2]"
33,True,1,4,0.069859,0.069850,0.071011,"[2]"
34,True,1,4,0.027879,0.027834,0.029765,"[0]"
35,True,1,4,0.210326,0.210329,0.216285,"[2]"
36,True,1,4,0.126954,0.126881,0.131145,"[2]"
37,True,1,4,0.204681,0.204662,0.205928,"[2]"
38,True,1,4,0.204681,0.204662,0.205928,"[2]"
39,True,1,4,0.216005,0.215914,0.221048,"[2]"
40,True,1,4,0.092750,0.092715,0.094480,"[0]"
41,True,1,4,0.460882,0.460979,0.467035,"[2]"
42,True,1,4,0.158329,0.158360,0.163882,"[2]"
43,True,1,4,0.111152,0.111152,0.115082,"[2]"
44,True,1,4,0.111152,0.111152,0.115082,"[2]"
45,True,1,4,0.251752,0.251756,0.252773,"[2]"
46,True,1,4,0.101817,0.101815,0.102328,"[2]"
47,True,1,4,0.101817,0.101815,0.102328,"[2]"
48,True,1,4,0.227364,0.227169,0.234515,"[0]"
49,True,1,4,0.227364,0.227169,0.234515,"[0]"
50,True,1,4,0.129135,0.129117,0.132364,"[2]"
51,True,1,4,0.166618,0.166596,0.170143,"[2]"
