frame_id,ok,used_markers,n_points,err_mean,err_median,err_p90,used_ids
0,True,2,8,0.347709,0.305047,0.544694,"[4, 0]"
1,True,2,8,0.353329,0.329912,0.522543,"[4, 0]"
2,True,2,8,0.328254,0.300641,0.474224,"[4, 0]"
3,True,3,12,0.362809,0.260021,0.683258,"[3, 4, 0]"
4,True,3,12,0.378542,0.302881,0.723073,"[3, 4, 0]"
5,True,3,12,0.390183,0.309907,0.699830,"[3, 4, 0]"
6,True,3,12,0.504064,0.478282,0.658998,"[4, 0, 3]"
7,True,3,12,0.489075,0.489250,0.706923,"[4, 0, 3]"
8,True,3,12,0.378340,0.346403,0.617159,"[2, 0, 1]"
9,True,2,8,0.287665,0.282478,0.412668,"[2, 1]"
10,True,2,8,0.244507,0.204158,0.382639,"[2, 1]"
11,True,2,8,0.270916,0.234521,0.520816,"[1, 4]"
12,True,2,8,0.272578,0.192780,0.545819,"[1, 4]"
13,True,2,8,0.282037,0.192316,0.576749,"[1, 4]"
14,True,2,8,0.172734,0.158737,0.266341,"[4, 3]"
15,True,2,8,0.187881,0.174609,0.358606,"[4, 3]"
16,True,2,8,0.292126,0.303838,0.372970,"[3, 4]"
17,True,2,8,0.238572,0.239357,0.345797,"[3, 4]"
18,True,2,8,0.246152,0.218493,0.392597,"[3, 4]"
19,True,2,8,0.223745,0.210670,0.282843,"[2, 3]"
20,True,2,8,0.250110,0.230444,0.340996,"[2, 3]"
21,True,2,8,0.225548,0.206645,0.290361,"[2, 3]"
22,True,2,8,0.239278,0.256316,0.324917,"[1, 2]"
23,True,2,8,0.233793,0.222974,0.339272,"[1, 2]"
24,True,2,8,0.259008,0.249370,0.343756,"[1, 2]"
25,True,2,8,0.196509,0.204487,0.310633,"[4, 1]"
26,True,2,8,0.187913,0.205854,0.289742,"[4, 1]"
27,True,2,8,0.231472,0.225793,0.368825,"[4, 1]"
28,True,2,8,0.301877,0.335112,0.410528,"[3, 4]"
29,True,2,8,0.316257,0.335203,0.432456,"[3, 4]"
30,True,2,8,0.318575,0.335380,0.437741,"[3, 4]"
31,True,2,8,0.309070,0.286085,0.503788,"[2, 3]"
32,True,2,8,0.315099,0.252029,0.486597,"[2, 3]"
33,True,2,8,0.283419,0.263375,0.464570,"[2, 3]"
34,True,2,8,0.250750,0.215283,0.447887,"[2, 3]"
35,True,2,8,0.227666,0.202950,0.441706,"[2, 3]"
36,True,2,8,0.178595,0.174253,0.263218,"[2, 1]"
37,True,2,8,0.124920,0.113606,0.172616,"[2, 1]"
38,True,2,8,0.163843,0.146440,0.252138,"[2, 1]"
39,True,1,4,0.075289,0.075284,0.076001,"[4]"
40,True,1,4,0.072745,0.072740,0.073443,"[4]"
41,True,1,4,0.305345,0.305313,0.312754,"[4]"
42,True,2,8,0.243649,0.191078,0.428616,"[4, 3]"
43,True,2,8,0.215375,0.157013,0.436971,"[4, 3]"
44,True,1,4,0.292353,0.292401,0.305876,"[2]"
45,True,2,8,0.345870,0.362293,0.502244,"[3, 2]"
46,True,2,8,0.345142,0.363735,0.497944,"[3, 2]"
47,True,1,4,0.088104,0.088082,0.090474,"[2]"
48,True,1,4,0.089572,0.089549,0.091984,"[2]"
49,True,2,8,0.276547,0.242412,0.446575,"[1, 2]"
50,True,2,8,0.319426,0.302426,0.486644,"[1, 2]"
51,True,2,8,0.275329,0.257039,0.447885,"[1, 2]"
