frame_id,ok,used_markers,n_points,err_mean,err_median,err_p90,used_ids
0,True,2,8,0.204453,0.189666,0.264208,"[3, 2]"
1,True,2,8,0.201421,0.188637,0.257480,"[3, 2]"
2,True,2,8,0.205171,0.188986,0.266499,"[3, 2]"
3,True,2,8,0.352116,0.347070,0.644097,"[2, 1]"
4,True,2,8,0.318108,0.320511,0.538830,"[2, 1]"
5,True,2,8,0.337240,0.331363,0.576836,"[2, 1]"
6,True,2,8,0.184263,0.227482,0.283486,"[2, 3]"
7,True,2,8,0.181313,0.204179,0.246300,"[2, 3]"
8,True,2,8,0.159702,0.162747,0.223920,"[4, 1]"
9,True,2,8,0.154823,0.153485,0.238991,"[4, 1]"
10,True,2,8,0.139754,0.152462,0.210860,"[4, 1]"
11,True,1,4,0.108850,0.108838,0.110672,"[4]"
12,True,1,4,0.160755,0.160721,0.163704,"[4]"
13,True,1,4,0.176621,0.176582,0.180022,"[4]"
14,True,2,8,0.185412,0.171897,0.272674,"[2, 3]"
15,True,2,8,0.181890,0.161383,0.270082,"[2, 3]"
16,True,2,8,0.167657,0.166098,0.225721,"[2, 1]"
17,True,2,8,0.184955,0.169336,0.246964,"[2, 1]"
18,True,2,8,0.216433,0.206238,0.300422,"[2, 1]"
19,True,2,8,0.198002,0.170996,0.340082,"[1, 4]"
20,True,2,8,0.197336,0.192629,0.343914,"[1, 4]"
21,True,2,8,0.173082,0.154597,0.301338,"[1, 4]"
22,True,3,12,0.350726,0.339513,0.536506,"[4, 3, 0]"
23,True,3,12,0.342298,0.332014,0.552994,"[4, 3, 0]"
24,True,3,12,0.355849,0.347965,0.532500,"[4, 3, 0]"
25,True,2,8,0.350840,0.387134,0.442834,"[3, 2]"
26,True,2,8,0.402634,0.426273,0.530504,"[3, 2]"
27,True,2,8,0.367414,0.421770,0.453874,"[3, 2]"
28,True,3,12,0.393028,0.400874,0.632816,"[2, 1, 0]"
29,True,3,12,0.360698,0.361578,0.652264,"[2, 1, 0]"
30,True,3,12,0.410934,0.416954,0.590073,"[2, 1, 0]"
31,True,3,12,0.499187,0.574311,0.772949,"[1, 4, 0]"
32,True,3,12,0.477844,0.576619,0.747691,"[1, 4, 0]"
33,True,3,12,0.501091,0.583441,0.722421,"[1, 4, 0]"
34,True,3,12,0.410667,0.330550,0.698101,"[1, 4, 0]"
35,True,3,12,0.447003,0.362210,0.875609,"[1, 4, 0]"
36,True,3,12,0.430122,0.416908,0.641641,"[4, 0, 3]"
37,True,3,12,0.443104,0.428438,0.669404,"[4, 0, 3]"
38,True,3,12,0.398708,0.375316,0.614760,"[4, 0, 3]"
39,True,3,12,0.385726,0.316161,0.753305,"[2, 3, 0]"
40,True,3,12,0.377126,0.292430,0.773506,"[2, 3, 0]"
41,True,2,8,0.231806,0.210322,0.374815,"[2, 3]"
42,True,3,12,0.284368,0.260564,0.429356,"[2, 3, 0]"
43,True,3,12,0.308827,0.278091,0.580571,"[2, 3, 0]"
44,True,2,8,0.374461,0.405226,0.548680,"[2, 0]"
45,True,2,8,0.297007,0.293622,0.473683,"[2, 0]"
46,True,2,8,0.408226,0.403611,0.561259,"[2, 0]"
47,True,2,8,0.212314,0.201799,0.324654,"[1, 4]"
48,True,2,8,0.238751,0.226574,0.349735,"[1, 4]"
49,True,2,8,0.206340,0.200039,0.279433,"[4, 3]"
50,True,3,12,0.369724,0.385342,0.530566,"[4, 3, 0]"
51,True,3,12,0.317606,0.305523,0.473975,"[4, 3, 0]"
